Title,Abstract,Journal,Language,Year,Month
Laparoscopic heminefrectomy for crossed fused kidney with inferior ectopia.,"Crossed fused renal ectopia is a rare congenital anomaly. We report the case of a 3 year old boy with diagnosis of right crossed fused renal ectopia, history of recurrent urinary tract infection and previous failure of surgical treatment.",Archivos espanoles de urologia,eng,2010,
Giant hepatic hemangioma and cross-fused ectopic kidney in a spaceflight participant.,"Commercial spaceflight participants are typically older than traditional astronauts and often have medical conditions that make medical certification for flight difficult. This case report considers a 43-yr-old spaceflight participant who planned a short-duration Soyuz flight to the International Space Station (ISS). While he participated in many hazardous activities such as parachuting, hang gliding, scuba diving, Antarctic and jungle exploration, and deep sea submersible operations, he knew that several of his medical conditions precluded serving as a career astronaut. At the time of his initial spaceflight prescreen examination, he was known to have previous bilateral photorefractive keratectomy (PRK) for myopia and a cross-fused left ectopic kidney that would be disqualifying for a career astronaut. During the evaluation for the left single cross-fused ectopic kidney, a giant hepatic hemangioma was also discovered. In order to medically qualify for flight, the giant hepatic hemangioma was surgically removed. This case summary investigat*es the implications of a single cross-fused left ectopic kidney and the decision process and treatment implications for spaceflight medical certification in an individual with an asymptomatic giant hepatic hemangioma.","Aviation, space, and environmental medicine",eng,2010,2.0
Laparoscopic nephrolithotomy in a patient with crossed fused renal ectopia.,"A 32-year-old man was referred to a tertiary care center for stone management. The patient had initially presented to his primary physician 3 months earlier with right flank pain of 2 month's duration. Abdominopelvic ultrasonography and intravenous urography had revealed left-to-right crossed fused renal ectopia with a 25 mm opaque stone in the crossed kidney. The patient had received two sessions of extracorporeal shock wave lithotripsy, which had failed to remove the renal stone.",Nature reviews. Urology,eng,2009,12.0
Is S-shaped kidney always a fusion anomaly? Radiological diagnosis of a new anatomical variant of a single kidney.,The term 'S-shaped kidney' typically refers to a variant of crossed-fused ectopia in which the crossed kidney is fused with the lower pole of the orthotopic kidney maintaining its orientation resulting in medially facing upper-pelvis and laterally facing lower-one; no kidney is present in the other renal fossa. [1] We present rational diagnosis and management of a rare anatomic variant of a single kidney with S shaped anomaly.,Indian journal of urology : IJU : journal of the Urological Society of India,eng,2009,
Menouria due to congenital vesicovaginal fistula associated with complex genitourinary malformation.,Congenital vesicovaginal fistula (VVF) is a very uncommon condition rarely suspected at initial presentation. It is usually seen in association with complex malformations of the genitourinary tract.,Indian journal of urology : IJU : journal of the Urological Society of India,eng,2009,
An atrophic crossed fused kidney with an ectopic vaginal ureter causing urine incontinence.,"An ectopic vaginal ureter is an infrequent cause of urinary incontinence. Most cases are associated with a duplex kidney in which the lower moiety ureter drains into the bladder. Occasionally, some cases of ectopic kidney with single vaginal ectopic ureter can occur. In this study, we present a case of chronic continuous urine incontinence caused by the extremely rare combination of a fused-crossed kidney and a single vaginal ectopic ureter. Laparoscopic nephroureterectomy was carried out smoothly and uneventfully. In our experience, laparoscopic navigation and surgery can be valuable tools to delineate and manage unusual congenital anomalies.",Urology,eng,2010,7.0
Retroperitoneoscopic nephrectomy for crossed-fused ectopic kidney.,A 25-year-old female presented with a history of recurrent urinary tract infection and end stage renal failure. Voiding cystourethrography revealed bilateral Grade IV vesicoureteral reflux with left to right crossed ectopia. A computed tomography scan showed fusion of both kidneys with the left kidney situated at the lower and anterior part of the right orthotopic moiety. A retroperitoneoscopic nephrectomy with a right side ureterectomy was carried out.,Indian journal of urology : IJU : journal of the Urological Society of India,eng,2009,7.0
A family with cleidocranial dysplasia and crossed ectopic kidney in one child.,"Cleidocranial dysplasia or dysostosis (CCD) is a condition characterised by failure of membranous ossification resulting in absence or pseudarthrosis of the clavicle, open fontanelles, wormian bones and supernumerary teeth. The aetiology though not completely known is thought to be due to a CBFA1 (core binding factor activity 1) gene defect on the short arm of chromosome 6p21. CBFA1 is essential for differentiation of stem cells into osteoblasts, so any defect in this gene will cause defects in membranous and endochondral bone formation. Since the first description, over 700 cases have been reported in literature. The authors report a family with mother and her four sons affected with CCD and Crossed Renal Ectopia (CRE) in one child, which has not been reported in CCD before.",Acta orthopaedica Belgica,eng,2009,8.0
3-D MR imaging of ectopia vasa deferentia.,"Ectopia vasa deferentia is a complex anomaly characterized by abnormal termination of the urethral end of the vas deferens into the urinary tract due to an incompletely understood developmental error of the distal Wolffian duct. Associated anomalies of the lower gastrointestinal tract and upper urinary tract are also commonly present due to closely related embryological development. Although around 32 cases have been reported in the literature, the MR appearance of this condition has not been previously described. We report a child with high anorectal malformation who was found to have ectopia vasa deferentia, crossed fused renal ectopia and type II caudal regression syndrome on MR examination. In addition to the salient features of this entity on reconstructed MR images, the important role of 3-D MRI in establishing an unequivocal diagnosis and its potential in facilitating individually tailored management is also highlighted.",Pediatric radiology,eng,2009,11.0
Pelvic cake kidney with a solitary ureter and bilateral congenital absence of the vas deferens.,"Cross-fused renal ectopia is an uncommon anomaly, typically drained by 2 ureters. We present a rare case of a patient with bilateral absence of the vas deferens found to have a ""cake"" or ""lump"" kidney with fused collecting systems drained by a single ureter.",Urology,eng,2010,1.0
Whose side are you on? The diagnostic conundrum of solitary crossed renal ectopia.,"A 56-year-old man presents with haematuria and through extensive investigation is found to have solitary crossed renal ectopia. This congenital abnormality occurs as a result of a combination of unilateral renal agenesis and renal ectopia. With only 34 cases reported in the worldwide literature, the rarity of solitary crossed renal ectopia makes its diagnosis a challenge. We review the embryological theories behind this congenital anomaly and highlight some of the typical features demonstrated in our case that would lead one to consider a diagnosis of solitary crossed renal ectopia. We also describe features which have not previously been noted in case reports.",Journal of pediatric urology,eng,2010,2.0
Ganglioneuroblastoma in a patient with crossed testicular ectopia.,"Crossed testicular ectopia is an extremely rare congenital disorder in which both testes descend toward the same hemiscrotum. Twenty percent of cases with crossed testicular ectopia are accompanied by urogenital anomalies such as hypospadias, seminal vesicle cysts, renal anomalies associated with obstruction of the ureteropelvic junction, and testicular tumors. In the case reported here, we describe a patient with ganglioneuroblastoma and crossed testicular ectopia.",Urology,eng,2009,11.0
Noonan syndrome: crossed fused ectopic kidneys and focal segmental glomerulosclerosis-a rare association.,"Noonan syndrome is characterised by short stature, typical facial dysmorphology and congenital heart defects. Urogenital abnormalities are reported in 10% of the cases. We present a 14-year-old girl with characteristic features of Noonan syndrome and nephrotic-range proteinuria. She had crossed fused ectopic kidneys. Renal biopsy showed focal segmental glomerulosclerosis. Oral steroids were instituted and she responded well. The case highlights this novel renal presentation of Noonan syndrome.",Clinical and experimental nephrology,eng,2009,10.0
Crossed fused renal ectopia with staghorn calculus and gross hydronephrosis.,Crossed fused renal ectopia is a rare renal anomaly. Formation of staghorn and struvite calculi within it has never been reported in local literature. A 25-year-old man with macrohematuria and right flank pain was admitted to the hospital. An intravenous pyelography revealed right sided crossed fused ectopic kidney showing a staghorn and struvite calculi in upper-moiety along with gross hydronephrosis. Patient was conservatively managed after exclusion of other congenital anomalies.,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,eng,2009,1.0
Renal cell carcinoma in two patients with crossed fused ectopic kidneys.,Primary renal malignancies involving crossed fused ectopic kidneys have rarely been reported. We describe two cases of renal cell carcinoma involving the orthotopic renal moiety in one patient and the heterotopic crossed renal moiety in another patient. Both patients were treated with surgical excision and preservation of the uninvolved renal unit.,Urologia internationalis,eng,2008,
L-shaped cross-fused kidney with stone.,L-shaped crossed renal ectopia is a rare congenital anomaly. A unique stone location on plain film and reconstructive computed tomography is demonstrated in a case of renal and ureteral calculi in a 58-year-old woman with right-to-left cross-fused ectopic kidney.,Urology,eng,2009,1.0
Ovulatory dysuria: a bizarre presentation of crossed non-fused ectopic kidney with extra renal pelvis.,"Ectopic kidneys are a unique form of congenital anomaly that in most cases remain asymptomatic. However, depending on the location and the associated anatomical variations, they can mimic certain more common conditions, posing a challenge in differential diagnosis. They could cause secondary symptoms by virtue of their location or could falsely mimic a primary urologic problem when the etiology might be from a closely opposed adjacent structure. We present a unique case of ovulatory dysuria in a young female with a crossed non-fused ectopic kidney. The patient's symptoms were recurrent and correlated with the ovulatory phase of the menstrual cycle. Work-up revealed the right ovary to be in close proximity to the pelvis of the ectopic kidney. Salpingo-oophrectomy was followed by complete resolution of the patient's symptoms. The clinical manifestations, work-up, and management of symptomatic ectopic kidneys are briefly discussed in our article. Symptoms are usually attributed only by systematically excluding other causes. Surgical intervention is a last resort option only after thorough work-up with appropriate imaging studies.",International urology and nephrology,eng,2008,
Laparoscopic heminephrectomy in L-shaped crossed fused ectopia.,"L-shaped fused ectopic kidney is a rare variant of crossed fused renal ectopia. We describe a case of crossed fused L-shaped kidney with congenital ureteropelvic junction obstruction involving an orthotopically located kidney presenting as renal trauma, and its management by laparoscopic heminephrectomy.",Journal of endourology,eng,2008,5.0
Crossed fused renal ectopia with calculi.,No Abstract,Journal of the American College of Surgeons,eng,2008,4.0
Unusual case of left iliac vein compression secondary to May-Thurner syndrome and crossed fused renal ectopia.,External compression of the left iliac vein against the fifth lumbar vertebra by the right iliac artery May and Thurner syndrome is a well-known anatomic variant. We identified a rare case of May-Thurner syndrome associated with crossed fused renal ectopia on the left side. The patient presented with complete thrombosis of the left common iliac vein down to the popliteal vein. He was treated with catheter directed thrombolysis followed by anticoagulant therapy.,Saudi medical journal,eng,2008,4.0
"Giant renal cyst complicated with acquired crossed renal ectopia, hypertension and renal cell carcinoma: case report and review of the literature.","Simple renal cysts are acquired kidney lesion that are described as spherical, smoothed surfaced, with a serous, sub-yellow content. They are generally considered as a harmless anomaly, however cases of complicated renal cysts have been reported. We present a case of an enormous renal cyst (the biggest ever described) containing more than 25 L of fluid mimicking ascites, complicated with controlateral displacement of ipsilateral functional kidney and intra-abdominal organs, renal cell carcinoma and hypertension. Particular attention is carried in the analysis of the literature about different aspects of giant renal cysts like the ability to grow to a very giant size, the association with hypertension and renal cell carcinoma, the sensibility of the most important examinations to reveals malignancy and management.","Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica",eng,2007,12.0
Crossed testicular ectopia.,"Crossed testicular ectopia/transverse testicular ectopia is an extremely rare anomaly, in which both gonads migrate toward the same hemiscrotum. About 100 cases of transverse testicular ectopia have been reported in published studies. We report a case of transverse testicular ectopia in an 8-year-old boy who presented with right inguinal hernia and nonpalpable left testis. On exploration, both testes were present in the right inguinal region. Bilateral orchiopexy was performed by crossing the left testis in the preperitoneal space. The diagnosis could not be made preoperatively in most of reported cases. Magnetic resonance imaging, magnetic resonance venography, and laparoscopy are useful for diagnosis and management.",Urology,eng,2008,5.0
Crossed fused ectopia of the kidneys.,No Abstract,Kidney international,eng,2008,3.0
"Radial, renal and craniofacial anomalies: Baller-Gerold syndrome.","The Baller-Gerold syndrome is a rare syndrome with very few cases published in literature. Craniosynostosis and radial aplasia are striking features, easy to diagnose. However, there are many differential diagnoses. Often, the question raised is whether the Baller-Gerald syndrome is a distinct entity. We report a patient with findings of craniosynostosis and radial aplasia consistent with the diagnosis of the Baller-Gerold syndrome. Genotypic heterogeneity could possibly underlie the phenotypic variability exhibited by these cases.",Indian journal of plastic surgery : official publication of the Association of Plastic Surgeons of India,eng,2008,1.0
Ten-year-old girl with crossed-fused ectopic kidney and ectopic ureter to vagina.,No Abstract,Urology,eng,2007,12.0
Morphometric study of a horseshoe kidney.,"To describe a horseshoe kidney, a congenital anomaly of the upper urinary tract.","Medical principles and practice : international journal of the Kuwait University, Health Science Centre",eng,2008,
Crossed fused renal ectopia with segmental fusion of bilateral ureters and abdominal aortic anomalies in a patient with caudal regression syndrome.,"Caudal regression syndrome consists of multiple congenital anomalies, mainly caudal segment defects. We describe a preterm baby born to a healthy mother with typical caudal regression picture, including imperforated anus with rectovesical fistula, sacral agenesis, multiple rib and vertebral anomalies, and club feet. Crossed fused renal ectopia with fused ureters resulting in urinary obstruction was managed with transureteroureterostomy and cutaneous vesicostomy. We also found a single large umbilical artery with high abdominal aortic insertion which usually presents in sirenomelia. Because of the anatomical diversity of the urinary and cardiovascular systems associated with multiple congenital anomalies, careful evaluation is mandatory.",European journal of pediatric surgery : official journal of Austrian Association of Pediatric Surgery ... [et al] = Zeitschrift fur Kinderchirurgie,eng,2007,10.0
Congenital absence of the portal vein associated with congenital hepatic fibrosis.,"The radiological features of a 7-year-old boy with congenital absence of the portal vein, pathologically proven congenital hepatic fibrosis, double inferior vena cava, ventricular septal defect, vertebral anomalies, crossed fused renal ectopia, and facial anomalies with pathological correlation are reported. This association between congenital absence of the portal vein and congenital hepatic fibrosis is unique.",Pediatric radiology,eng,2007,9.0
Bilateral fused pelvic kidney ectopia with a single draining ureter solved by craniolateral displacement of the kidney and Boari-modified bladder-calyceal anastomosis with bladder augmentation.,"A pelvic cake kidney with hydronephrosis and renal failure with the single draining ureter was reported. Frequent urination related to compression of the bladder was the most important symptom. The kidney was craniolaterally displaced, the malfunctioning ureter was replaced with the Boari-like tubularization of the bladder, and the neoureter was anastomosed with the calyx. The bladder was enlarged by intestinal augmentation.",International journal of urology : official journal of the Japanese Urological Association,eng,2007,6.0
Anatomy of successfully separated thoracopagus-omphalopagus conjoined twins.,"The birth of conjoined twins occurs in approximately 1 in 50,000 to 1 in 100,000 deliveries, and the majority are either stillborn or die early in life. Approximately 184 successful separations have been described. The authors describe the preoperative radiologic evaluation of a set of thoracopagus-omphalopagus twins and their successful surgical separation. Preoperative radiologic imaging demonstrated that the twins did not share myocardium, but an ectopic cordis was present. The inferior vena cavae entered the right atria at more acute angles than normal. The liver was fused, two gallbladders were present, and there was a large bridging portal vein that crossed the hepatic isthmus of one twin to the conjoined twin's portal venous system. Replaced hepatic arteries originated from the superior mesenteric arteries. Each twin had separate kidneys, colons, and rectums. Preoperative tissue expansion was necessary, and the twins were separated at 5 1/2 months of life. Successful separation of twins conjoined by several organ systems requires a multispecialty approach. Preoperative knowledge of shared anatomy is necessary for adequate preparation and planning. Despite meticulous preoperative investigations, certain anatomy can only be discovered at the time of surgery, and the ability to adjust to these findings is imperative.","Clinical anatomy (New York, N.Y.)",eng,2007,10.0
A report of unusual crossed fused renal ectopia and minimal invasive management of calculi.,"Crossed renal ectopias with fusion are rare anomalies of the kidney. Urinary upper tract anatomy is modified and urinary stones may occur. We report such a case, with precise anatomical description of the kidneys and the successful management of a stone with minimal invasive techniques.",Surgical and radiologic anatomy : SRA,eng,2007,7.0
The Mayer-Rokitansky-Küstner-Hauser syndrome.,"To describe the case of a woman affected by a rare syndrome, known as Mayer-Rokintansky-Küstner-Hauser syndrome (MRKH), characterized by congenital absence of uterus and upper vagina, often found associated with renal agenesia or other renal malformations, which in this case, presented as the prime feature of the disease, with left pelvic pain due to a hydronephrosis of the right cross ectopic kidney.","Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica",eng,2007,3.0
Laparoscopic heminephrectomy for renal cell carcinoma in cross-fused ectopic kidney.,"Crossed renal ectopia is a rare congenital malformation. We report a case of renal cell carcinoma in a 51-year-old man with right-to-left crossed fused renal ectopia. The patient was treated with ultrasound-guided laparoscopic heminephrectomy. Postoperative three-dimensional computed tomography showed normal perfusion of the remaining part of the kidney, with good excretion of contrast from both units of the cross-fused kidney.",Urology,eng,2007,4.0
Transplantation of crossed fused renal ectopia.,"Crossed fused renal ectopia is a type of congenital fused anomaly of the kidney. This type of kidney, when encountered, can be used as a donor organ to provide useful solution to the critical shortage of available organs for transplantation.",Asian journal of surgery,eng,2007,1.0
A rare association of crossed fused renal ectopia.,Thrombocytopenia and absent radius syndrome (TAR) is a rare genetic disorder. It is an autosomal recessive disorder characterised by radial aplasia and thrombocytopenia that may have additional anomalies. We report a case of TAR syndrome with crossed fused renal ectopia. This anomaly has not been previously reported in association with TAR syndrome.,BMC nephrology,eng,2007,3.0
Crossed renal ectopia with fusion: report of two patients.,"Crossed renal ectopia is one of the rarest urinary system anomalies. It is more often seen at autopsy than in clinical practice. Most cases of renal ectopia remain asymptomatic during life and are diagnosed incidentally. Renal ultrasonography, intravenous pyelography, computerized tomography, and renal scintigraphy (technetium-based tests) are the imaging methods used for diagnosis. Demonstration of crossed renal ectopia is important because it is a predisposing factor for obstruction, infection, and neoplasia of the urinary system. We report two male patients who had unremarkable clinical findings. Both had left-to-right inferior crossed renal ectopia with fusion. Additionally, the first patient had a history of surgery for a recurrent inguinal hernia, whereas the second had crossed fused renal ectopia associated with nephroptosis. Surgeons should be aware of ectopic and fused kidneys to minimize perioperative complications because of the uncertain anatomy.","Clinical anatomy (New York, N.Y.)",eng,2007,8.0
An unusual post-traumatic case of extrahepatic bile duct compression.,"Jaundice and cholestatic disease by external bile duct compression may be caused by several conditions, including pancreatic masses, portal cavernoma, Ormond's disease, metastases from gallbladder cancer, neurinomas, and hydronephrotic kidney. We report a case of bile duct compression in a 56-year-old man with a known small (28 mm) right renal cyst and crossed, fused renal ectopia. The patient had a history of recent abdominal trauma due to a motorcycle accident and recurrent septic-type fever and jaundice. He also reported a weight loss of 5 kg in the last two months. Abdominal ultrasonography showed intra- and extra-hepatic bile duct dilatation, and computed tomography scan showed hydronephrosis, dilatation of intra- and extra-hepatic biliary tract, and a right renal complex cyst of more than 9 cm. One can hypothesize a relationship between the abdominal trauma and the increase in size of the renal cyst, which, moreover, had changed its original shape. The patient underwent cefuroxime and metronidazole therapy, with complete recovery from the cholangitis within one week. The treatment of choice would have been surgical excision or, alternatively, an image-guided percutaneous aspiration of the cyst, in order to avoid further episodes of cholangitis. Unfortunately, the patient refused either surgical or more conservative treatment and was lost to follow-up.","The Mount Sinai journal of medicine, New York",eng,2006,12.0
An unusual presentation of ureteric colic.,A patient presented with acute pain in the right iliac fossa and was found to have a small stone in the lower ureter of a crossed ectopic right kidney. This unique presentation highlights the potential pitfalls that may occur when assessing an acute pain in the right iliac fossa and reminds the invaluable role of IVP.,"Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica",eng,2006,9.0
Diagnostic imaging of inverted Y duplication of the ureter with anomalous point angle. A case report.,"A rare anomaly of ureteral duplication is the inverted Y configuration, occurring when 2 distal ureteral limbs fuse proximally to become a single tube draining the kidney. In international literature there is a female predominance. Previous reports documented distal limbs that were atresic or associated with ureterocele or ectopically located. We report a case of inverted Y ureter with an obtuse point angle open caudally; the 2 ureteral limbs reach the bladder trigone and are canalized, even if the supernumerary one is partially stenotic in the distal tract.",Minerva urologica e nefrologica = The Italian journal of urology and nephrology,eng,2006,9.0
Robotic-assisted laparoscopic ureteroureterostomy in an adolescent with an obstructed upper pole system and crossed renal ectopia with fusion.,Ureteropelvic junction obstruction (UPJO) in crossed renal ectopia with fusion is a rare condition. Management of UPJO occurring in ectopic kidneys generally requires open surgical reconstruction. Experience with minimally invasive techniques is minimal for repair of UPJO in ectopic kidneys. We report what we believe to be the first documented case of laparoscopic ureteroureterostomy with the da Vinci robotic system in an adolescent with an obstructed upper pole system and crossed renal ectopia with fusion.,Urology,eng,2006,9.0
Proximal ureteral ectopia causing hydronephrosis in a kitten.,"A 2-month-old, female cat was presented for abdomen dilation. The patient was undernourished, and severe left hydronephrosis was diagnosed after clinical, ultrasonographical and radiographical examination. Although pyelography was performed in order to visualise the ureteral course, surgery was necessary to reach a final aetiological diagnosis and treatment. At gross examination, the left ureter crossed the renal capsula at the level of the caudal renal pole, and the subcapsular ureteral segment was markedly dilated. Distal to the renal capsula, the left ureter was very thin when compared to the right. The parenchyma of the left kidney, as suggested by ultrasonographical evaluation, was extremely reduced in thickness. An ureteronephrectomy was performed. Histopathological evaluation revealed glomerular sclerosis and diffuse parenchymal fibrosis. Severe hydronephrosis derived from an altered renal pelvic anatomy and abnormal ureteral course determining functional stenosis. Diagnosis of congenital anomaly before development of complications such as hydronephrosis could have allowed a surgical renal capsulectomy and obstruction relief. To the author's knowledge, this is the first report of severe hydronephrosis associated to altered renal pelvic anatomy and proximal ureteral ectopia in cat.",Journal of feline medicine and surgery,eng,2006,12.0
Case report: laparoscopic pyeloplasty with pyelolithotomy in crossed fused ectopia.,"An 8-year-old boy with right flank pain was found on ultrasonography and intravenous urography to have hydronephrosis secondary to ureteropelvic junction obstruction with calculi in the lower pole of the right kidney and a fusion anomaly. Transperitoneal laparoscopic dismembered pyeloplasty and removal of calculi was carried out. The patient had uneventful recovery and is doing well at 6 months' follow-up. To our knowledge, this is the first reported case of laparoscopic pyeloplasty with pyelolithotomy in crossed fused ectopic kidneys in the pediatric population.",Journal of endourology,eng,2006,3.0
Extracorporeal shock wave lithotripsy in L-shaped kidneys: report of two cases.,"The L-shaped or tandem kidney is a type of crossed ectopia with fusion in which the crossed kidney assumes a transverse position during its attachment to the inferior pole of the other kidney. Calculus formation is a well-known sequel of congenital abnormalities of the urinary tract and we like to present two patients harbouring calculi in L-shaped kidneys treated by extracorporeal shock wave lithotripsy (ESWL). The first patient had a calculus in renal pelvis of the transverse kidney. The second case had multiple calculi in renal pelvis and calices of the vertically positioned kidney. After three sessions, first patient was stone free, whereas no fragmentation in the second case. As a conclusion, ESWL might be an option for L-shaped kidneys.",International urology and nephrology,eng,2005,
Unfused renal ectopia: a rare form of congenital renal anomaly.,"Unfused crossed renal ectopia observed 1 in 75,000 autopsies is a rare congenital anomaly. Typically one kidney is located in the proximity of the other kidney, and the ureter of the anatomically anomalous kidney crosses the midline to insert to the bladder in its normal anatomic position. Although renal function is usually not affected, the condition is generally accompanied by other congenital anomalies. In this case report, static and dynamic scintigraphic images of two patients with unfused crossed renal ectopia are presented. Besides properties of imaging modalities, clinical features are discussed in light of the available literature.",Annals of nuclear medicine,eng,2005,9.0
Aberrant vessels in ipsilateral malrotated kidney associated with contralateral cross ectopia without fusion.,"Aberrant vessels is the most common cause of extrinsic uretero-pelvic junction (UPJ) obstruction. Due to the left flank pain, 18-year-old male patient with UPJ obstruction due to aberrant vessels in left malrotated kidney and right renal cross ectopia without fusion, had been operated. Ureter was reconstructed and anastomosed anterior to the aberrant vessels after the Double-J-Stent has been placed. At the postoperative period there were improvements in the clinical symptoms and renal function. So, even in the later childhood surgical choice is still the acceptable treatment modality in such cases. To the best of our knowledge, although there are some papers about aberrant vessels which cause UPJ obstruction, there is no such a case with ipsilateral renal hydronephrosis due to aberrant vessels associated with contralateral renal cross ectopia without fusion.",International urology and nephrology,eng,2005,
Renal scintigraphy unraveled the diagnostic dilemma of antenatal hydronephrotic solitary kidney-crossed renal ectopia.,"On antenatal ultrasound assessment, an apparently solitary hydronephrotic kidney was identified, confirmed on postnatal ultrasound examination. More detailed postnatal investigations revealed the diagnosis of crossed renal ectopia.",Clinical nuclear medicine,eng,2005,9.0
Cross-fused ectopic multicystic dysplastic kidney with associated ureterocele.,We describe a case of the unique congenital anomaly of cross-fused ectopic multicystic dysplastic kidney with associated ureterocele and demonstrate the usefulness of magnetic resonance imaging in fetal imaging.,Urology,eng,2005,8.0
Laparoscopic hand-assisted nephrectomy for crossed fused ectopia with polycystic kidney disease.,Polycystic kidney disease occurring in individuals with crossed fused renal ectopia is an extremely rare occurrence. The treatment of individuals with this condition is a unique surgical challenge for the operating physician. Today's advances in laparoscopic techniques provide us with new and innovative ways of performing complex procedures while subjecting patients to relatively minimal surgical trauma. We describe the laparoscopic removal of a severely diseased polycystic crossed fused kidney.,Urology,eng,2005,2.0
Crossed fused renal ectopia with metastatic renal cell carcinoma.,No Abstract,Clinical nuclear medicine,eng,2004,11.0
The TACRD association is distinct from VACTERL association--a case report.,"Tracheal agenesis is a rare malformation. A case of tracheal agenesis with associated ventricular septal defect, gastric hypoplasia, hiatus hernia, duodenal atresia, isomerism of the lungs, hypoplastic spleen with polysplenia, Meckel's diverticulum and fused crossed ectopia of the kidneys is presented. This case fits into a newly proposed TACRD association, an extremely rare condition composed of tracheal agenesis, cardiac, renal and duodenal malformations. It is distinct from the more common VACTERL association of which tracheo-esophageal fistula and not tracheal agenesis is a part. TACRD association has complex internal malformations and lacks the external skeletal manifestations of VACTERL association. Awareness amongst pathologists conducting neonatal autopsies is necessary for correct identification of this condition.",Indian journal of pathology & microbiology,eng,2004,1.0
Crossed renal ectopia with fusion: presentation on Tc-99m DTPA scan.,No Abstract,Clinical nuclear medicine,eng,2004,9.0
Crossed fused ectopic left kidney.,No Abstract,Archives of disease in childhood,eng,2004,8.0
Renal cell carcinoma in cross renal ectopia with fusion: diagnosis and operative planning by multidetector three-dimensional computed tomography.,No Abstract,Urology,eng,2004,7.0
Experience of an abdominal aortic aneurysm in a patient having crossed ectopia with fusion anomaly of the kidney.,We report a case of surgically treated abdominal aortic aneurysm (AAA) in a patient having crossed ectopia with fusion anomaly of the kidney. One artery from the abdominal aorta above the aneurysm supplies the right kidney while three renal arteries (two from the aneurysm itself and one from the left common iliac artery) supply the crossed ectopic kidney. Preoperative imaging to define the arterial and collecting systems along with a detailed planning of the operation is essential to prevent ischemic renal injury as well as ureteral injury during AAA repair.,Journal of Korean medical science,eng,2004,4.0
Further delineation of Hennekam syndrome.,"We report four children from four inbred Arab families with varying manifestations of Hennekam syndrome and additional features that have not been previously reported. These include abnormalities of the middle ear, anomalous pulmonary venous drainage, interrupted inferior vena cava, polysplenia, crossed renal ectopia, median position of the liver and multiple cavernous haemangiomas. In addition, in one case lymphoedema was absent and oedema due to hypoproteinaemia appeared at 6 years of age. Since anomalies of the veins and the consequent developmental abnormalities of the lymphatics might lead to alterations in the fluid balance of the embryo, we hypothesize that altered fluid dynamics due to defective vascular and lymphatic development might disrupt critical events in craniofacial morphogenesis resulting in Hennekam syndrome.",Clinical dysmorphology,eng,2003,10.0
Transitional cell carcinoma in a fused crossed ectopic kidney.,"Nephroureterectomy is considered the reference standard treatment for invasive transitional cell carcinoma of the ureter. When this malignancy occurs in a patient with renal fusion anomaly, separating the involved kidney from its conjoint mate becomes a challenging task for the surgeon. We report a unique case in which a patient with an L-shaped left-to-right crossed ectopic kidney was diagnosed with invasive ureteral transitional cell carcinoma. The preoperative assessment in these uncommon cases should include renal angiography or computed tomography angiography to provide key information about the renal vasculature, which is essential for planning the surgical dissection and line of separation between the kidneys.",Urology,eng,2003,10.0
Duplicated inferior vena cava and crossed renal ectopia with abdominal aortic aneurysm: preoperative anatomic studies facilitate surgery.,"Abdominal aortic aneurysm in association with duplication of the inferior vena cava and crossed renal ectopia is described for the first time. Preoperative imaging with computer-aided tomography provided good visualization of the local anatomy, allowing the surgical approach to be adapted for the best access to the surgical site. A retroperitoneal approach was successfully used for repair of the abdominal aortic aneurysm.","Clinical anatomy (New York, N.Y.)",eng,2003,7.0
Abdominal aortic aneurysm associated with crossed renal ectopia without fusion: case report and literature review.,"Genitourinary anomalies can present a formidable challenge to the vascular surgeon at abdominal aortic reconstruction. We saw a case of crossed renal ectopia without fusion, a rare anomaly, associated with abdominal aortic aneurysm. Because of risk for injury to the kidney during surgery, preoperative evaluation of this anomaly must include computed tomography, angiography, and intravenous pyelography. Preoperative placement of a ureteral catheter may prevent injury to the anomalous ureter. Renal failure of the ectopic kidney during aortic reconstruction can be a serious problem. We used in situ hypothermic perfusion with cold (4 degrees C) Ringer solution for renal protection, and reimplanted the aberrant renal artery. The postoperative course was good, without major complications. The procedure for renal preservation must be selected on the basis of anatomic findings. We review the literature and present the first case of crossed renal ectopia.",Journal of vascular surgery,eng,2003,5.0
